layer,unit,description,similarity
avgpool,683,stripes,0.3403015
avgpool,684,clerks,0.28982544
avgpool,685,attic,0.60369873
avgpool,686,rafting,0.17947388
avgpool,687,blinds,0.4156494
avgpool,688,darkness,0.1538086
avgpool,689,ferries,0.30514526
avgpool,690,curtain,0.3302307
avgpool,691,textured,0.12451172
avgpool,692,dispenser,0.20077515
avgpool,693,sinks,0.18579102
avgpool,694,subwoofer,0.11373901
avgpool,695,snowmobile,0.26712036
avgpool,696,sauna,0.26623535
avgpool,697,grooming,0.18615723
avgpool,698,wilhelm,0.33117676
avgpool,699,canyon,0.3680725
avgpool,700,toddler,0.27651978
avgpool,701,accommodation,0.43460083
avgpool,702,flooring,0.30151367
avgpool,703,mesh,0.30389404
avgpool,704,antiques,0.16522217
avgpool,705,sailing,0.23678589
avgpool,706,female,0.56954956
avgpool,707,canyon,0.4093628
avgpool,708,greyhound,0.17407227
avgpool,709,bathroom,0.75180054
avgpool,710,sinks,0.4286499
avgpool,711,prisoner,0.30517578
avgpool,712,kitchens,0.28414917
avgpool,713,zebra,0.4484253
avgpool,714,stairs,0.18164062
avgpool,715,juvenile,0.57650757
avgpool,716,driving,0.18621826
avgpool,717,hostel,0.65805054
avgpool,718,siding,0.36914062
avgpool,719,pizza,0.49597168
avgpool,720,mating,0.29266357
avgpool,721,female,0.3972473
avgpool,722,playa,0.16009521
avgpool,723,juvenile,0.4161682
avgpool,724,tourists,0.20379639
avgpool,725,gardens,0.5308838
avgpool,726,textile,0.40518188
avgpool,727,casserole,0.2566223
avgpool,728,comforter,0.21472168
avgpool,729,grille,0.25997925
avgpool,730,pharmacist,0.2640381
avgpool,731,bureau,0.18908691
avgpool,732,building,0.28723145
avgpool,733,crane,0.34716797
avgpool,734,bldg,0.3722229
avgpool,735,oem,0.13250732
avgpool,736,habitat,0.34368896
avgpool,737,engraved,0.1722107
avgpool,738,market,0.5784912
avgpool,739,quilts,0.15133667
avgpool,740,shops,0.32351685
avgpool,741,grocery,0.29455566
avgpool,742,flowers,0.38110352
avgpool,743,pasture,0.24105835
avgpool,744,laboratories,0.40612793
avgpool,745,airports,0.37597656
avgpool,746,turbulence,0.1435852
avgpool,747,geology,0.27334595
avgpool,748,collier,0.48999023
avgpool,749,juvenile,0.2052002
avgpool,750,cooking,0.22949219
avgpool,751,fence,0.2710266
avgpool,752,highways,0.31817627
avgpool,753,mosque,0.45474243
avgpool,754,airborne,0.33016968
avgpool,755,columns,0.3470459
avgpool,756,barcode,0.121795654
avgpool,757,campground,0.29833984
avgpool,758,lattice,0.24893188
avgpool,759,dining,0.12710571
avgpool,760,juvenile,0.27578735
avgpool,761,greenhouse,0.43603516
